jahr,geber,politikbereich,betrag,plz,name
2013,03,23,3164,00,'Roter Baum' Berlin UG (haftungsbeschränkt)
2014,03,14,15000,00,'Roter Baum' Berlin UG (haftungsbeschränkt)
2014,03,14,17575,00,'Roter Baum' Berlin UG (haftungsbeschränkt)
2014,03,14,30000,00,'Roter Baum' Berlin UG (haftungsbeschränkt)
2014,03,23,33000,00,'Roter Baum' Berlin UG (haftungsbeschränkt)
2014,03,23,9416,00,'Roter Baum' Berlin UG (haftungsbeschränkt)
2014,16,02,8145,240,'Roter Baum' Berlin UG (haftungsbeschränkt)
2015,17,14,52398,239,'Sonnenkäferwelt e. V.'
2010,15,17,90000,145,'Theater Thikwá' - Verein zur Förderung der Zusammenarbeit 'behinderter' und 'nichtbehinderter' Schauspieler und Schauspielerinnen e. V.
2011,15,17,90000,145,'Theater Thikwá' - Verein zur Förderung der Zusammenarbeit 'behinderter' und 'nichtbehinderter' Schauspieler und Schauspielerinnen e. V.
2012,15,17,90000,145,'Theater Thikwá' - Verein zur Förderung der Zusammenarbeit 'behinderter' und 'nichtbehinderter' Schauspieler und Schauspielerinnen e. V.
2012,15,17,4060,145,'Theater Thikwá' - Verein zur Förderung der Zusammenarbeit 'behinderter' und 'nichtbehinderter' Schauspieler und Schauspielerinnen e. V.
2012,15,17,10000,145,'Theater Thikwá' - Verein zur Förderung der Zusammenarbeit 'behinderter' und 'nichtbehinderter' Schauspieler und Schauspielerinnen e. V.
2013,15,17,130000,145,'Theater Thikwá' - Verein zur Förderung der Zusammenarbeit 'behinderter' und 'nichtbehinderter' Schauspieler und Schauspielerinnen e. V.
2013,15,17,37000,145,'Theater Thikwá' - Verein zur Förderung der Zusammenarbeit 'behinderter' und 'nichtbehinderter' Schauspieler und Schauspielerinnen e. V.
2010,30,17,112500,136,'Theater Thikwá' - Verein zur Förderung der Zusammenarbeit 'behinderter' und 'nichtbehinderter' Schauspieler und Schauspielerinnen e. V.
2015,17,14,122133,12,'Wildfang' Kinder gGmbH
2016,17,14,196000,83,'Wunderinsel' gGmbH
2012,16,02,25610,10,@baeumer Unternehmensentwicklung
2009,23,02,13206,10,@baeumer Unternehmensentwicklung
2010,23,02,41923,10,@baeumer Unternehmensentwicklung
2011,23,02,43034,10,@baeumer Unternehmensentwicklung
2011,29,28,10500,143,]init[ AG für digitale Kommunikation
2012,28,28,135250,143,]init[ Aktiengesellschaft für digitale Kommunikation
2012,28,28,196875,143,]init[ Aktiengesellschaft für digitale Kommunikation
2013,28,28,20000,143,]init[ Aktiengesellschaft für digitale Kommunikation
2013,28,28,20000,143,]init[ Aktiengesellschaft für digitale Kommunikation
2013,28,28,3838,143,]init[ Aktiengesellschaft für digitale Kommunikation
2013,28,28,872500,143,]init[ Aktiengesellschaft für digitale Kommunikation
2009,29,28,15690,143,]init[ Aktiengesellschaft für digitale Kommunikation
2010,29,28,533690,143,]init[ Aktiengesellschaft für digitale Kommunikation
2013,28,28,1494390,73,+49 group GmbH
2015,22,21,6770,418,1 VfL Fortuna Marzahn
2011,09,21,800,353,1. Berliner Bogenschützen e. V.
2010,22,21,1364,370,1. Berliner Bogenschützen e. V.
2011,22,21,647,370,1. Berliner Bogenschützen e. V.
2012,22,21,1547,370,1. Berliner Bogenschützen e. V.
2013,22,21,383,370,1. Berliner Bogenschützen e. V.
2014,22,21,430,370,1. Berliner Bogenschützen e. V.
